2949,2007-11-05 00:00:00,5,230,"Mes de noviembre"
3285,2007-10-22 00:00:00,2,450,"1º plazo adiestramiento"
3285,2008-01-04 00:00:00,2,464,"Plazo final adiestramiento + baño"
3305,2009-01-07 00:00:00,9,,"Apertura cuenta cliente"
3305,2009-03-22 00:00:00,9,2800,"cuadrar a cero"
3319,2009-01-05 00:00:00,9,,"Apertura cuenta cliente"
3319,2009-03-22 00:00:00,9,10,"cuadrar a cero"
2949,2007-12-03 00:00:00,5,230,"Pago mes de diciembre"
2949,2008-01-08 00:00:00,8,230,"Pago mes de enero"
2949,2008-02-02 00:00:00,5,230,"mensualidad"
2949,2008-03-07 00:00:00,8,230,"Pago mes de marzo"
2960,2007-03-17 00:00:00,3,419,"hasta el 16 de marzo"
2960,2007-03-31 00:00:00,3,285,"Resto de pago"
3057,2008-03-25 00:00:00,2,900,"Abonado hasta el 31 de marzo"
3057,2008-04-26 00:00:00,3,454,"Abonado hasta 30 de abril + baño + collares + veterinario"
3057,2008-09-10 00:00:00,8,1200,"hasta 30 agosto "
3057,2008-11-19 00:00:00,9,650,"pago talón con el resto de estancia"
3062,2014-08-18 00:00:00,8,56," A CUENTA"
2573,2008-03-27 00:00:00,5,,"Deja a deber su estancia del 25 al 26/3"
2573,2008-04-07 00:00:00,8,44,"pago q la quedaba por abonar"
2573,2008-04-07 00:00:00,9,44,"equivocación"
2573,2008-05-26 00:00:00,8,150,"Pago estancia y más"
735,2006-02-19 00:00:00,8,400,"liquida"
805,2010-01-18 00:00:00,8,180,"bone 15"
805,2010-03-23 00:00:00,9,27,"a cero"
849,2007-08-17 00:00:00,3,205.55999755859375,"a cuenta"
1363,2008-04-28 00:00:00,5,286,"Pago estancia abril"
1363,2008-05-20 00:00:00,5,342,"Pago residencia mayo"
1363,2008-06-26 00:00:00,5,256,"res junio"
1363,2008-09-04 00:00:00,5,662,"Salda deuda de las 2 últimas estancias"
3449,2008-06-27 00:00:00,8,162,"A CUENTA"
3452,2010-02-08 00:00:00,8,300,"BONO 30 DIAS"
3452,2010-10-07 00:00:00,3,290,"bono 30 dias"
3452,2011-01-23 00:00:00,3,340,"bono 30"
3411,2008-07-05 00:00:00,8,400,"A CUENTA RESIDENCIA"
3412,2008-03-23 00:00:00,9,110,"a cero"
3412,2008-11-27 00:00:00,8,300,"Compra BONO 30"
3412,2008-12-09 00:00:00,8,40,"adelanto transportes"
3412,2012-06-25 00:00:00,8,279.8999938964844,"bono mas cuadre"
3438,2008-07-15 00:00:00,8,,"APERTURA CUENTA CLIENTE"
3438,2008-07-16 00:00:00,8,112,"Pago deuda"
3464,2008-07-03 00:00:00,3,70,"PAGA POR ADELANTADO"
3464,2008-07-07 00:00:00,8,10,"liquida"
3464,2008-07-31 00:00:00,9,85,"habia pagado ya todo"
3495,2011-03-02 00:00:00,8,200," bono 15"
2490,2006-03-24 00:00:00,8,36,"a cuenta"
2491,2009-04-30 00:00:00,3,60,"Adelanto residencia"
2491,2012-07-27 00:00:00,3,60,"RESIDENCIA PERRO"
2501,2008-07-31 00:00:00,9,75,"anulación deuda"
2504,2008-07-31 00:00:00,9,56,"Anulación deuda"
2507,2006-07-29 00:00:00,8,450,"1º PLAZO ADIESTRAMIENTO"
1163,2008-06-16 00:00:00,8,5,"deuda saldada"
1327,2008-07-31 00:00:00,9,123,"Anulacion deuda"
627,2005-06-16 00:00:00,1,62,"entrega a cuenta"
627,2008-07-31 00:00:00,9,223,"anulacion deuda"
2326,2005-12-31 00:00:00,8,1,"a cuenta"
2329,2008-11-21 00:00:00,8,180,"BONO15"
2331,2008-07-31 00:00:00,9,36,"anulación deuda"
2448,2006-06-10 00:00:00,8,230,"Pago mes de Abril"
2448,2007-03-09 00:00:00,8,1265,"Hasta mediados de Octubre"
2448,2008-07-31 00:00:00,9,1400,"Nunca pagó los 1400, se llevó el perro sin pagar"
2449,2008-07-31 00:00:00,9,1,"anulación deuda"
2458,2006-05-12 00:00:00,8,72,"adelanto"
2592,2006-05-11 00:00:00,8,50,"a cuenta"
2592,2009-09-03 00:00:00,3,72,"a cuenta"
2599,2018-02-22 00:00:00,8,45,"a cuenta"
2602,2008-07-31 00:00:00,9,16,"Anulación deuda"
2605,2008-07-31 00:00:00,9,16,"anulación deuda"
2623,2006-06-05 00:00:00,2,250,"Adelanto Residencia de Buda"
1985,2006-02-23 00:00:00,8,15,"a cuenta"
2000,2005-12-31 00:00:00,8,5,"a cuenta"
2002,2008-07-31 00:00:00,9,12,"anulación deuda"
2004,2005-03-03 00:00:00,1,300,"PLAZO ADIESTRAMIENTO"
2004,2005-04-11 00:00:00,2,870,"el perro no se entrena queda que nos da 300€ y le devolvemos con esta fecha 130"
3536,2008-09-13 00:00:00,8,30,"Entrega de Reserva 5730"
3537,2008-09-15 00:00:00,8,30,"abono residencia"
3538,2008-09-22 00:00:00,8,50,"pago a cuenta"
3538,2008-09-24 00:00:00,8,10,"saldo deuda"
3540,2008-09-28 00:00:00,9,,"Apertura cuenta cliente"
3540,2008-10-10 00:00:00,9,35,"pago de veterinario por nuestra parte"
3355,2008-03-25 00:00:00,5,100,"1º pago residencia "
3355,2008-04-07 00:00:00,5,100,"2º pago residencia"
3360,2008-10-30 00:00:00,8,300,"bono 30 dias"
3360,2008-11-04 00:00:00,9,60,"error al cobrar con el bono"
3360,2009-02-19 00:00:00,8,150,"bono 30 noches"
2296,2008-07-04 00:00:00,8,450," a cuenta"
2296,2008-10-16 00:00:00,9,150,"Le regalamos los últimos dias de estancia de Rocco "
2296,2008-11-22 00:00:00,8,500,"Salda deuda de Rocco y paga parte de residencia Beltza"
2296,2008-12-24 00:00:00,8,690,"3 meses Beltza hasta el 15/11/2008"
2296,2009-04-06 00:00:00,3,1000,"Pagado todo hasta el 15/04/2009"
2301,2008-10-06 00:00:00,3,304,"Bono 30 + 2 paseos"
2273,2005-08-31 00:00:00,1,50,"A CUENTA"
2273,2005-09-06 00:00:00,1,22,"liquidacion"
2273,2008-10-10 00:00:00,5,90,"anula deuda"
2273,2008-10-10 00:00:00,9,75,"SALDO CUENTA"
2274,2005-12-03 00:00:00,8,50,"ENTREGA A CUENTA"
2573,2008-09-22 00:00:00,8,150,"a cuenta"
2573,2008-09-22 00:00:00,9,112,"error del programa, debe 47€"
2573,2008-10-11 00:00:00,3,47,"saldo deuda"
2573,2008-12-15 00:00:00,8,87,"Anulación deuda"
3540,2008-10-14 00:00:00,5,135,"pago deuda"
3551,2008-10-23 00:00:00,8,105,"Entrega de Reserva 5822"
3555,2009-01-02 00:00:00,3,300,"BONO 30 "
3555,2009-03-23 00:00:00,9,52,"a cero"
3119,2007-07-06 00:00:00,3,135,"ADELANTO"
3134,2007-07-31 00:00:00,8,1000,"Adiestramiento"
3156,2009-01-15 00:00:00,8,310,"resto"
3156,2010-01-17 00:00:00,8,300,"bono 30"
3156,2010-03-23 00:00:00,9,240,"a cero"
3164,2009-03-22 00:00:00,9,127,"cuadrar a cero"
3370,2008-10-17 00:00:00,5,750,"Pagado hasta el 1 de septiembre"
3370,2008-11-06 00:00:00,5,465,"Salda deuda pendiente de Luna"
3399,2010-03-30 00:00:00,8,90,"A CUENTA"
3399,2011-01-02 00:00:00,3,51,"A CUENTA"
3407,2009-10-05 00:00:00,8,40,"rezidencia"
2507,2006-09-15 00:00:00,8,450,"Ultimo plazo adiestramiento"
2525,2008-11-11 00:00:00,9,,"Apertura cuenta cliente"
2525,2008-11-14 00:00:00,3,80,"Pago deuda"
2567,2009-03-01 00:00:00,2,300,"Bono 30"
3045,2008-11-23 00:00:00,8,480,"BONO30 (2 perros)"
3054,2008-07-28 00:00:00,8,1,"apertura cuenta cliente"
3054,2008-08-02 00:00:00,8,141,"Pago deuda"
3054,2010-03-08 00:00:00,8,100,"PAGO A CTA"
3054,2011-03-07 00:00:00,8,51,"estancia 11/02/2011 a 15/02/2011"
3054,2011-08-01 00:00:00,8,100,"residencia"
3057,2007-04-14 00:00:00,8,41.900001525878906,"Collares Scalibor"
3438,2008-09-04 00:00:00,8,304,"Saldo deuda"
3438,2008-12-29 00:00:00,8,300,"BONO15 - 2perros"
3446,2008-07-16 00:00:00,8,,"Crear cuenta cliente"
3446,2008-07-23 00:00:00,8,700,"1º abono hasta 15 sept"
3446,2008-09-16 00:00:00,8,458,"Pago vacunas y hasta el 15/10/2008"
1363,2008-10-10 00:00:00,5,268,"Pago última estancia"
1363,2008-11-06 00:00:00,8,100,"pago últimas facturas"
1363,2008-11-28 00:00:00,5,300,"BONO 30"
1498,2005-09-02 00:00:00,1,30,"A CUENTA"
3364,2008-12-01 00:00:00,9,,"Apertura cuenta cliente"
3364,2008-12-04 00:00:00,5,100,"BEDIA"
3364,2009-07-30 00:00:00,3,200,"Adelanto residencia Agosto"
3370,2008-04-01 00:00:00,5,660,"Pago hasta el 1/04/2008"
3370,2008-05-21 00:00:00,8,500,"abril y mayo"
3070,2008-12-27 00:00:00,3,305,"Pago residencia y 15 dias adiestramiento"
